symbol,entry_ts,exit_ts,side,entry_price,exit_price,stop_price,target_price,pnl_abs,r_multiple,model,entry_reasons,exit_reason,entry_hour
QQQ,2026-02-10 10:00:00-05:00,2026-02-10 10:57:00-05:00,long,615.5250244140625,614.823764692034,614.823764692034,617.2781737191336,-0.7012597220284533,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-10 10:57:00-05:00,2026-02-10 11:24:00-05:00,long,615.3699951171875,614.5679438999721,614.5679438999721,617.375123160226,-0.8020512172154213,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-11 10:00:00-05:00,2026-02-11 10:03:00-05:00,long,613.719970703125,613.2152557373047,613.2152557373047,614.9817581176758,-0.5047149658203125,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-11 10:06:00-05:00,2026-02-11 10:09:00-05:00,long,613.0700073242188,612.6152801513672,612.6152801513672,614.2068252563477,-0.4547271728515625,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-11 10:18:00-05:00,2026-02-11 10:21:00-05:00,long,610.2000122070312,609.3428423200335,609.3428423200335,612.3429369245257,-0.8571698869977808,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-11 10:27:00-05:00,2026-02-11 10:30:00-05:00,long,608.010009765625,609.0529283796038,607.5928423200335,609.0529283796038,1.0429186139788271,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-11 10:30:00-05:00,2026-02-11 10:54:00-05:00,long,608.6934814453125,611.4631598336357,607.5856100899832,611.4631598336357,2.7696783883232,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-11 10:54:00-05:00,2026-02-12 10:39:00-05:00,long,612.5700073242188,609.4199227469308,609.4199227469308,620.4452187674387,-3.1500845772879984,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-12 10:45:00-05:00,2026-02-12 11:00:00-05:00,short,608.9000244140625,606.4962953839981,609.8615160260882,606.4962953839981,2.403729030064369,2.500000000000059,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-13 10:00:00-05:00,2026-02-13 10:09:00-05:00,short,600.6400146484375,601.9217522757394,601.9217522757394,597.4356705801827,-1.2817376273019363,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:09:00-05:00,2026-02-13 10:12:00-05:00,short,601.8300170898438,602.0416253226144,602.0416253226144,601.300996507917,-0.2116082327706863,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:12:00-05:00,2026-02-13 10:27:00-05:00,short,601.5499877929688,602.6717522757394,602.6717522757394,598.745576586042,-1.1217644827706863,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:27:00-05:00,2026-02-13 10:30:00-05:00,short,602.760009765625,602.9677660260882,602.9677660260882,602.2406191144671,-0.20775626046315665,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:30:00-05:00,2026-02-13 10:33:00-05:00,short,604.0700073242188,604.1957765851702,604.1957765851702,603.7555841718402,-0.12576926095141516,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:33:00-05:00,2026-02-13 10:36:00-05:00,short,604.7899780273438,604.2254633222308,605.0157839093889,604.2254633222308,0.5645147051129698,2.500000000000252,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-13 10:36:00-05:00,2026-02-13 10:39:00-05:00,short,604.7100219726562,603.9456171308245,605.0157839093889,603.9456171308245,0.7644048418317198,2.500000000000186,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-13 10:51:00-05:00,2026-02-13 10:54:00-05:00,short,601.8800048828125,602.1733047485352,602.1733047485352,601.1467552185057,-0.2932998657227017,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:54:00-05:00,2026-02-13 10:57:00-05:00,short,602.1699829101562,602.3753311157227,602.3753311157227,601.6566123962401,-0.20534820556645172,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:57:00-05:00,2026-02-13 11:06:00-05:00,short,602.1400146484375,603.0053359985352,603.0053359985352,599.9767112731932,-0.8653213500977017,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
